prerequisite_code,course_code
BIOB11H3,BIOC15H3
PSYB07H3,BIOC15H3
STAB22H3,BIOC15H3
BIOB51H3,BIOC16H3
BIOB10H3,BIOC17H3
BIOB11H3,BIOC17H3
BIOB10H3,BIOC19H3
BIOB11H3,BIOC19H3
BIOB10H3,BIOC20H3
BIOB11H3,BIOC20H3
BIOB10H3,BIOC21H3
BIOB34H3,BIOC21H3
BIOB12H3,BIOC23H3
BIOC12H3,BIOC23H3
BIOB50H3,BIOC29H3
BIOB51H3,BIOC29H3
BIOB10H3,BIOC31H3
BIOB11H3,BIOC31H3
BIOB34H3,BIOC32H3
NROB60H3,BIOC32H3
BIOB34H3,BIOC34H3
NROB60H3,BIOC34H3
BIOB10H3,BIOC35H3
BIOB11H3,BIOC35H3
BIOB38H3,BIOC37H3
BIOB50H3,BIOC37H3
BIOB51H3,BIOC37H3
BIOB10H3,BIOC39H3
BIOB11H3,BIOC39H3
BIOB10H3,BIOC40H3
BIOB11H3,BIOC40H3
BIOB50H3,BIOC50H3
BIOB51H3,BIOC50H3
BIOB50H3,BIOC51H3
BIOB51H3,BIOC51H3
BIOB52H3,BIOC51H3
BIOB50H3,BIOC54H3
BIOB51H3,BIOC54H3
BIOB50H3,BIOC58H3
BIOB51H3,BIOC58H3
BIOB50H3,BIOC59H3
BIOB50H3,BIOC60H3
BIOB51H3,BIOC60H3
BIOB50H3,BIOC61H3
BIOB50H3,BIOC62H3
BIOB51H3,BIOC62H3
BIOB50H3,BIOC63H3
BIOB51H3,BIOC63H3
BIOB50H3,BIOC65H3
CHMA10H3,BIOC65H3
CHMA11H3,BIOC65H3
ANTA01H3,BIOC70H3
BIOA01H3,BIOC70H3
BIOA02H3,BIOC70H3
BIOA11H3,BIOC70H3
HLTA02H3,BIOC70H3
HLTA03H3,BIOC70H3
PSYA01H3,BIOC70H3
PSYA02H3,BIOC70H3
ANTB14H3,BIOC70H3
ANTB15H3,BIOC70H3
HLTB20H3,BIOC70H3
HLTB22H3,BIOC70H3
BIOB90H3,BIOC90H3
BIOC32H3,BIOD06H3
NROC34H3,BIOD06H3
NROC64H3,BIOD06H3
NROC69H3,BIOD06H3
BIOC32H3,BIOD07H3
NROC34H3,BIOD07H3
NROC64H3,BIOD07H3
NROC69H3,BIOD07H3
NROC34H3,BIOD08H3
NROC64H3,BIOD08H3
NROC69H3,BIOD08H3
MATA29H3,BIOD08H3
MATA30H3,BIOD08H3
MATA31H3,BIOD08H3
PSYB07H3,BIOD08H3
STAB22H3,BIOD08H3
BIOC10H3,BIOD12H3
BIOC12H3,BIOD12H3
BIOC13H3,BIOD13H3
BIOC15H3,BIOD15H3
BIOC17H3,BIOD17H3
BIOC39H3,BIOD17H3
BIOC14H3,BIOD19H3
BIOC20H3,BIOD20H3
BIOB12H3,BIOD21H3
BIOC15H3,BIOD21H3
BIOC17H3,BIOD21H3
BIOC10H3,BIOD22H3
BIOC12H3,BIOD22H3
BIOC15H3,BIOD22H3
BIOC12H3,BIOD23H3
BIOC19H3,BIOD24H3
BIOC15H3,BIOD25H3
BIOC17H3,BIOD26H3
BIOC39H3,BIOD26H3
BIOB34H3,BIOD27H3
BIOC32H3,BIOD27H3
BIOC34H3,BIOD27H3
BIOC10H3,BIOD29H3
BIOC20H3,BIOD29H3
BIOC39H3,BIOD29H3
BIOC15H3,BIOD30H3
BIOC31H3,BIOD30H3
BIOC40H3,BIOD30H3
BIOC34H3,BIOD32H3
BIOC33H3,BIOD33H3
BIOC34H3,BIOD33H3
BIOB34H3,BIOD34H3
BIOC31H3,BIOD37H3
BIOC40H3,BIOD37H3
BIOC33H3,BIOD43H3
BIOC34H3,BIOD43H3
BIOC54H3,BIOD45H3
NROC34H3,BIOD45H3
BIOB50H3,BIOD48H3
BIOB51H3,BIOD48H3
BIOC50H3,BIOD48H3
BIOC54H3,BIOD48H3
BIOC61H3,BIOD48H3
BIOC50H3,BIOD52H3
BIOC63H3,BIOD52H3
BIOC54H3,BIOD53H3
BIOC62H3,BIOD54H3
BIOC63H3,BIOD54H3
BIOC54H3,BIOD55H3
BIOB50H3,BIOD59H3
MATA29H3,BIOD59H3
MATA30H3,BIOD59H3
MATA31H3,BIOD59H3
BIOB50H3,BIOD60H3
STAB22H3,BIOD60H3
BIOC59H3,BIOD60H3
BIOC61H3,BIOD60H3
BIOC16H3,BIOD62H3
BIOC50H3,BIOD62H3
BIOB50H3,BIOD63H3
BIOB51H3,BIOD63H3
BIOC51H3,BIOD63H3
BIOC52H3,BIOD63H3
BIOC54H3,BIOD63H3
BIOC58H3,BIOD63H3
BIOC59H3,BIOD63H3
BIOC60H3,BIOD63H3
BIOC61H3,BIOD63H3
BIOB10H3,BIOD65H3
BIOB11H3,BIOD65H3
BIOC32H3,BIOD65H3
NROC61H3,BIOD65H3
NROC64H3,BIOD65H3
NROC69H3,BIOD65H3
BIOB51H3,BIOD66H3
BIOC59H3,BIOD66H3
BIOC61H3,BIOD66H3
BIOD95H3,BIOD95H3
BIOD98Y3,BIOD95H3
BIOD99Y3,BIOD95H3
CHMA10H3,CHMA11H3
CHMA10H3,CHMA12H3
MATA29H3,CHMA12H3
MATA30H3,CHMA12H3
CHMA10H3,CHMB16H3
CHMA11H3,CHMB16H3
CHMA12H3,CHMB16H3
MATA29H3,CHMB16H3
MATA30H3,CHMB16H3
MATA35H3,CHMB16H3
MATA36H3,CHMB16H3
CHMA11H3,CHMB20H3
CHMA12H3,CHMB20H3
MATA35H3,CHMB20H3
MATA36H3,CHMB20H3
MATA37H3,CHMB20H3
PHYA10H3,CHMB20H3
PHYA11H3,CHMB20H3
CHMB20H3,CHMB21H3
CHMB23H3,CHMB21H3
CHMA11H3,CHMB23H3
